rank,name,boardlife_link,players,players_min,players_max,genre,rating,shopping_link,google_link
86,딥 씨 크루,https://boardlife.co.kr/game/14167,2~5명,2,5,전략게임,7.815,https://search.shopping.naver.com/search/all?query=딥 씨 크루 보드게임,https://www.google.com/search?q=딥 씨 크루 보드게임
87,도미넌트 스피시즈,https://boardlife.co.kr/game/174,2~6명,2,6,전략게임,7.814,https://search.shopping.naver.com/search/all?query=도미넌트 스피시즈 보드게임,https://www.google.com/search?q=도미넌트 스피시즈 보드게임
88,온 마스,https://boardlife.co.kr/game/9814,1~4명,1,4,전략게임,7.807,https://search.shopping.naver.com/search/all?query=온 마스 보드게임,https://www.google.com/search?q=온 마스 보드게임
89,서부 탐험대,https://boardlife.co.kr/game/19507,1~4명,1,4,정보 없음,7.802,https://search.shopping.naver.com/search/all?query=서부 탐험대 보드게임,https://www.google.com/search?q=서부 탐험대 보드게임
90,네메시스,https://boardlife.co.kr/game/9909,1~5명,1,5,테마게임,7.792,https://search.shopping.naver.com/search/all?query=네메시스 보드게임,https://www.google.com/search?q=네메시스 보드게임
91,러시안 레일로드,https://boardlife.co.kr/game/2502,2~4명,2,4,전략게임,7.792,https://search.shopping.naver.com/search/all?query=러시안 레일로드 보드게임,https://www.google.com/search?q=러시안 레일로드 보드게임
92,다윈의 여정,https://boardlife.co.kr/game/14064,1~4명,1,4,전략게임,7.788,https://search.shopping.naver.com/search/all?query=다윈의 여정 보드게임,https://www.google.com/search?q=다윈의 여정 보드게임
93,마블 챔피언스: 카드 게임,https://boardlife.co.kr/game/11763,1~4명,1,4,컬렉터블 게임,7.784,https://search.shopping.naver.com/search/all?query=마블 챔피언스: 카드 게임 보드게임,https://www.google.com/search?q=마블 챔피언스: 카드 게임 보드게임
94,남티그리스의 학자,https://boardlife.co.kr/game/16753,1~4명,1,4,전략게임,7.779,https://search.shopping.naver.com/search/all?query=남티그리스의 학자 보드게임,https://www.google.com/search?q=남티그리스의 학자 보드게임
95,콩코르디아,https://boardlife.co.kr/game/2501,2~5명,2,5,전략게임,7.778,https://search.shopping.naver.com/search/all?query=콩코르디아 보드게임,https://www.google.com/search?q=콩코르디아 보드게임
96,언더워터 시티즈,https://boardlife.co.kr/game/9830,1~4명,1,4,전략게임,7.778,https://search.shopping.naver.com/search/all?query=언더워터 시티즈 보드게임,https://www.google.com/search?q=언더워터 시티즈 보드게임
97,엘드리치 호러,https://boardlife.co.kr/game/2528,1~8명,1,8,테마게임,7.778,https://search.shopping.naver.com/search/all?query=엘드리치 호러 보드게임,https://www.google.com/search?q=엘드리치 호러 보드게임
98,봄버스터즈,https://boardlife.co.kr/game/19722,2~5명,2,5,가족게임,7.777,https://search.shopping.naver.com/search/all?query=봄버스터즈 보드게임,https://www.google.com/search?q=봄버스터즈 보드게임
99,이클립스: 두 번째 여명,https://boardlife.co.kr/game/13424,2~6명,2,6,전략게임,7.774,https://search.shopping.naver.com/search/all?query=이클립스: 두 번째 여명 보드게임,https://www.google.com/search?q=이클립스: 두 번째 여명 보드게임
100,전지적 추리 시점,https://boardlife.co.kr/game/18328,2~6명,2,6,정보 없음,7.768,https://search.shopping.naver.com/search/all?query=전지적 추리 시점 보드게임,https://www.google.com/search?q=전지적 추리 시점 보드게임
